Time	Channel A	Channel B
(us)	(V)	(mV)

-10.00799966	-2.17089081	0.00000000
-10.00399966	-2.09030509	-27.69746399
-9.99999966	-2.17089081	19.77731133
-9.99599966	-2.17089081	7.90477324
-9.99199966	-2.09030509	-23.72970009
-9.98799966	-2.17089081	15.82492638
-9.98399966	-2.17089081	15.82492638
-9.97999966	-2.17089081	-27.69746399
-9.97599966	-2.17089081	7.90477324
-9.97199966	-2.17089081	19.77731133
-9.96799966	-2.17089081	-19.77731133
-9.96399966	-2.17089081	-7.90477324
-9.95999966	-2.09030509	19.77731133
-9.95599966	-2.17089081	-7.90477324
-9.95199966	-2.17089081	-15.82492638
-9.94799966	-2.17089081	11.85715961
-9.94399966	-2.17089081	7.90477324
-9.93999966	-2.17089081	-15.82492638
-9.93599966	-2.17089081	3.95238662
-9.93199966	-2.09030509	7.90477324
-9.92799967	-2.09030509	-3.95238662
-9.92399967	-2.17089081	-3.95238662
-9.91999967	-2.17089081	-3.95238662
-9.91599967	-2.17089081	3.95238662
-9.91199967	-2.17089081	7.90477324
-9.90799967	-2.17089081	-15.82492638
-9.90399967	-2.17089081	3.95238662
-9.89999967	-2.17089081	15.82492638
-9.89599967	-2.17089081	-11.85715961
-9.89199967	-2.17089081	-3.95238662
-9.88799967	-2.17089081	11.85715961
-9.88399967	-2.17089081	-3.95238662
-9.87999967	-2.17089081	0.00000000
-9.87599967	-2.17089081	3.95238662
-9.87199967	-2.17089081	3.95238662
-9.86799967	-2.17089081	0.00000000
-9.86399967	-2.17089081	-3.95238662
-9.85999967	-2.17089081	0.00000000
-9.85599967	-2.17089081	0.00000000
-9.85199967	-2.17089081	-3.95238662
-9.84799967	-2.09030509	3.95238662
-9.84399967	-2.17089081	0.00000000
-9.83999967	-2.17089081	-3.95238662
-9.83599967	-2.17089081	0.00000000
-9.83199967	-2.09030509	-3.95238662
-9.82799967	-2.17089081	0.00000000
-9.82399967	-2.09030509	0.00000000
-9.81999967	-2.17089081	0.00000000
-9.81599967	-2.17089081	3.95238662
-9.81199967	-2.17089081	0.00000000
-9.80799967	-2.09030509	3.95238662
-9.80399967	-2.17089081	-3.95238662
-9.79999967	-2.17089081	7.90477324
-9.79599967	-2.17089081	0.00000000
-9.79199967	-2.09030509	-11.85715961
-9.78799967	-2.09030509	11.85715961
-9.78399967	-2.17089081	3.95238662
-9.77999967	-2.17089081	-19.77731133
-9.77599967	-2.17089081	11.85715961
-9.77199967	-2.17089081	15.82492638
-9.76799967	-2.17089081	-19.77731133
-9.76399967	-2.17089081	3.95238662
-9.75999967	-2.17089081	7.90477324
-9.75599967	-2.17089081	-11.85715961
-9.75199967	-2.17089081	15.82492638
-9.74799967	-2.17089081	-7.90477324
-9.74399967	-2.17089081	-23.72970009
-9.73999967	-2.17089081	31.64985275
-9.73599967	-2.17089081	-11.85715961
-9.73199967	-2.09030509	-31.64985275
-9.72799967	-2.17089081	39.55462265
-9.72399967	-2.17089081	-7.90477324
