Time	Channel A	Channel B
(us)	(V)	(mV)

-10.00799966	-9.96924210	3.95238662
-10.00399966	-9.96924210	0.00000000
-9.99999966	-9.96924210	0.00000000
-9.99599966	-9.96924210	3.95238662
-9.99199966	-9.96924210	3.95238662
-9.98799966	-9.96924210	3.95238662
-9.98399966	-9.96924210	3.95238662
-9.97999966	-9.96924210	0.00000000
-9.97599966	-9.96924210	3.95238662
-9.97199966	-9.96924210	3.95238662
-9.96799966	-9.96924210	0.00000000
-9.96399966	-9.96924210	3.95238662
-9.95999966	-9.96924210	3.95238662
-9.95599966	-9.96924210	3.95238662
-9.95199966	-9.96924210	3.95238662
-9.94799966	-9.96924210	3.95238662
-9.94399966	-9.96924210	3.95238662
-9.93999966	-9.96924210	3.95238662
-9.93599966	-9.96924210	0.00000000
-9.93199966	-9.96924210	3.95238662
-9.92799967	-9.96924210	3.95238662
-9.92399967	-9.96924210	0.00000000
-9.91999967	-9.96924210	3.95238662
-9.91599967	-9.96924210	3.95238662
-9.91199967	-9.96924210	3.95238662
-9.90799967	-9.96924210	3.95238662
-9.90399967	-9.96924210	0.00000000
-9.89999967	-9.96924210	3.95238662
-9.89599967	-9.96924210	3.95238662
-9.89199967	-9.96924210	3.95238662
-9.88799967	-9.96924210	3.95238662
-9.88399967	-9.96924210	3.95238662
-9.87999967	-9.96924210	3.95238662
-9.87599967	-9.96924210	3.95238662
-9.87199967	-9.96924210	3.95238662
-9.86799967	-9.96924210	0.00000000
-9.86399967	-9.96924210	3.95238662
-9.85999967	-9.96924210	3.95238662
-9.85599967	-9.96924210	3.95238662
-9.85199967	-9.96924210	0.00000000
-9.84799967	-9.96924210	0.00000000
-9.84399967	-9.96924210	3.95238662
-9.83999967	-9.96924210	3.95238662
-9.83599967	-9.96924210	3.95238662
-9.83199967	-9.96924210	3.95238662
-9.82799967	-9.96924210	3.95238662
-9.82399967	-9.96924210	3.95238662
-9.81999967	-9.96924210	3.95238662
-9.81599967	-9.96924210	3.95238662
-9.81199967	-9.96924210	3.95238662
-9.80799967	-9.96924210	3.95238662
-9.80399967	-9.96924210	3.95238662
-9.79999967	-9.96924210	0.00000000
-9.79599967	-9.96924210	0.00000000
-9.79199967	-9.96924210	3.95238662
-9.78799967	-9.96924210	3.95238662
-9.78399967	-9.96924210	3.95238662
-9.77999967	-9.96924210	0.00000000
-9.77599967	-9.96924210	3.95238662
-9.77199967	-9.96924210	3.95238662
-9.76799967	-9.96924210	3.95238662
-9.76399967	-9.96924210	3.95238662
-9.75999967	-9.80868626	3.95238662
-9.75599967	-9.96924210	3.95238662
-9.75199967	-9.96924210	3.95238662
-9.74799967	-9.96924210	3.95238662
-9.74399967	-9.96924210	3.95238662
-9.73999967	-9.96924210	3.95238662
-9.73599967	-9.96924210	0.00000000
-9.73199967	-9.96924210	0.00000000
-9.72799967	-9.96924210	3.95238662
-9.72399967	-9.96924210	0.00000000
-9.71999967	-9.96924210	0.00000000
-9.71599967	-9.96924210	3.95238662
